id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
227,adelaide crows,18,2009-08-01,2009,A,geelong cats,3.2 4.7 9.11 13.13,91,3.3 7.7 11.7 14.9,93,L,-2,GMHBA Stadium,21686.0,13,13,14,9
228,adelaide crows,19,2009-08-08,2009,H,collingwood magpies,2.4 3.10 6.13 9.14,68,2.5 3.7 8.7 13.11,89,L,-21,AAMI Stadium,45128.0,9,14,13,11
229,adelaide crows,20,2009-08-14,2009,A,hawthorn hawks,1.2 6.8 12.9 13.16,94,5.3 5.5 8.10 9.13,67,W,27,Melbourne Cricket Ground,32583.0,13,16,9,13
230,adelaide crows,21,2009-08-22,2009,H,west coast eagles,2.4 8.8 12.12 18.14,122,2.2 4.2 5.5 7.6,48,W,74,AAMI Stadium,39640.0,18,14,7,6
225,adelaide crows,16,2009-07-19,2009,A,st kilda saints,4.2 5.2 5.4 7.6,48,4.4 10.6 13.13 15.15,105,L,-57,Marvel Stadium,31940.0,7,6,15,15
232,adelaide crows,EF,2009-09-04,2009,H,essendon bombers,4.3 12.4 18.9 26.10,166,3.3 5.7 8.8 10.10,70,W,96,AAMI Stadium,50393.0,26,10,10,10
233,adelaide crows,SF,2009-09-12,2009,A,collingwood magpies,6.3 7.7 7.9 11.12,78,1.4 3.5 9.7 12.11,83,L,-5,Melbourne Cricket Ground,62184.0,11,12,12,11
234,adelaide crows,1,2010-03-28,2010,A,fremantle dockers,2.3 4.3 9.4 9.8,62,2.5 9.9 12.11 17.16,118,L,-56,Domain Stadium,30976.0,9,8,17,16
235,adelaide crows,2,2010-04-04,2010,H,sydney swans,2.3 4.5 8.7 11.9,75,4.3 11.4 14.9 18.10,118,L,-43,AAMI Stadium,36041.0,11,9,18,10
236,adelaide crows,3,2010-04-11,2010,A,melbourne demons,2.5 4.9 5.10 5.11,41,1.5 1.8 5.11 7.15,57,L,-16,Melbourne Cricket Ground,23335.0,5,11,7,15
237,adelaide crows,4,2010-04-17,2010,H,carlton blues,2.7 3.9 4.15 6.19,55,5.1 10.4 12.5 16.7,103,L,-48,AAMI Stadium,38321.0,6,19,16,7
238,adelaide crows,5,2010-04-23,2010,A,western bulldogs,4.4 7.5 8.9 10.12,72,4.3 10.5 15.11 18.13,121,L,-49,Marvel Stadium,26884.0,10,12,18,13
239,adelaide crows,6,2010-05-01,2010,H,port adelaide power,4.2 7.7 9.10 10.14,74,4.1 6.4 8.9 14.13,97,L,-23,AAMI Stadium,40371.0,10,14,14,13
240,adelaide crows,7,2010-05-09,2010,H,richmond tigers,3.0 5.3 7.9 15.14,104,3.3 6.5 6.10 7.12,54,W,50,AAMI Stadium,31196.0,15,14,7,12
252,adelaide crows,19,2010-08-08,2010,H,western bulldogs,1.5 5.7 7.10 7.11,53,3.1 6.7 7.11 8.13,61,L,-8,AAMI Stadium,29321.0,7,11,8,13
243,adelaide crows,10,2010-05-29,2010,A,st kilda saints,2.1 7.2 11.4 12.4,76,5.1 7.2 12.7 19.9,123,L,-47,Marvel Stadium,28708.0,12,4,19,9
244,adelaide crows,11,2010-06-05,2010,H,fremantle dockers,6.1 11.3 12.6 16.9,105,5.3 7.4 10.6 12.10,82,W,23,AAMI Stadium,35605.0,16,9,12,10
246,adelaide crows,13,2010-06-27,2010,H,melbourne demons,4.6 9.10 10.19 16.21,117,1.3 3.5 8.6 11.7,73,W,44,AAMI Stadium,34422.0,16,21,11,7
247,adelaide crows,14,2010-07-03,2010,H,essendon bombers,7.1 12.5 15.7 19.10,124,1.3 2.4 4.8 5.10,40,W,84,AAMI Stadium,37296.0,19,10,5,10
248,adelaide crows,15,2010-07-10,2010,A,west coast eagles,4.3 6.9 10.12 17.15,117,2.2 7.5 10.9 14.11,95,W,22,Domain Stadium,26976.0,17,15,14,11
249,adelaide crows,16,2010-07-16,2010,H,geelong cats,2.3 4.3 8.8 11.8,74,3.1 5.3 7.3 9.9,63,W,11,AAMI Stadium,41195.0,11,8,9,9
250,adelaide crows,17,2010-07-25,2010,A,port adelaide power,1.5 2.9 5.10 9.15,69,2.3 5.5 10.7 13.10,88,L,-19,AAMI Stadium,36788.0,9,15,13,10
253,adelaide crows,20,2010-08-15,2010,A,brisbane lions,2.4 9.5 13.8 15.14,104,4.7 6.12 12.14 13.19,97,W,7,The Gabba,25403.0,15,14,13,19
254,adelaide crows,21,2010-08-21,2010,A,collingwood magpies,3.3 4.7 6.8 7.9,51,1.3 3.5 4.10 6.18,54,L,-3,Melbourne Cricket Ground,42159.0,7,9,6,18
268,adelaide crows,14,2011-06-26,2011,A,geelong cats,1.1 2.2 4.6 10.13,73,7.3 9.6 14.10 19.11,125,L,-52,GMHBA Stadium,23246.0,10,13,19,11
269,adelaide crows,15,2011-07-02,2011,H,sydney swans,2.1 3.4 5.5 8.9,57,3.1 4.5 4.10 6.14,50,W,7,AAMI Stadium,23063.0,8,9,6,14
259,adelaide crows,5,2011-04-23,2011,A,carlton blues,1.2 6.2 9.4 12.7,79,5.5 6.12 8.17 11.19,85,L,-6,Marvel Stadium,37607.0,12,7,11,19
260,adelaide crows,6,2011-04-30,2011,H,st kilda saints,4.3 6.9 8.10 13.12,90,0.6 1.9 6.12 9.17,71,W,19,AAMI Stadium,33854.0,13,12,9,17
261,adelaide crows,7,2011-05-08,2011,A,melbourne demons,2.0 5.3 6.4 8.5,53,2.7 6.11 14.16 22.17,149,L,-96,Melbourne Cricket Ground,19987.0,8,5,22,17
262,adelaide crows,8,2011-05-14,2011,H,gold coast suns,2.2 9.7 14.10 20.10,130,4.4 4.6 6.13 9.19,73,W,57,AAMI Stadium,36056.0,20,10,9,19
