model,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,total_time_sec
HistGradientBoosting,0.7807510945726562,0.007971967692545991,0.7122088965307839,0.007036880872188143,0.9281832573463029,0.0017480911490673136,25.583049942000002
LogisticRegression,0.7498342792332234,0.005039322119870841,0.6738543170684421,0.004336854830616233,0.912890726734594,0.0022778387816981614,19.223226885999964
RandomForest,0.7287819572011965,0.008259718533612483,0.6734620859735306,0.007941147183411107,0.9047497196424199,0.002562721006286114,77.98624053700001
