match_id,season,round,match_date,venue,home_team,away_team,home_score,away_score,crowd,margin,result,home_win,home_form_win_rate_last3,home_form_avg_score_for_last3,home_form_avg_score_against_last3,home_form_avg_margin_last3,home_form_win_rate_last5,home_form_avg_score_for_last5,home_form_avg_score_against_last5,home_form_avg_margin_last5,home_form_win_rate_last10,home_form_avg_score_for_last10,home_form_avg_score_against_last10,home_form_avg_margin_last10,home_team_streak_entering_game,home_days_since_last_match,home_games_played_this_season,home_venue_experience,home_points_cum_prior,home_scored_cum_prior,home_conceded_cum_prior,home_percentage_prior,home_ladder_position_prior,home_h2h_win_rate_prior,home_h2h_games_played_prior,away_form_win_rate_last3,away_form_avg_score_for_last3,away_form_avg_score_against_last3,away_form_avg_margin_last3,away_form_win_rate_last5,away_form_avg_score_for_last5,away_form_avg_score_against_last5,away_form_avg_margin_last5,away_form_win_rate_last10,away_form_avg_score_for_last10,away_form_avg_score_against_last10,away_form_avg_margin_last10,away_team_streak_entering_game,away_days_since_last_match,away_games_played_this_season,away_venue_experience,away_points_cum_prior,away_scored_cum_prior,away_conceded_cum_prior,away_percentage_prior,away_ladder_position_prior,away_h2h_win_rate_prior,away_h2h_games_played_prior,form_win_rate_diff_last5,ladder_position_diff,rest_days_diff
19830409_StKildaSaints,1983,3,1983-04-09,Moorabbin Oval,St Kilda Saints,Hawthorn Hawks,42,171,19227.0,-129,A,0.0,0.0,78.5,115.5,-37.0,0.0,78.5,115.5,-37.0,0.0,78.5,115.5,-37.0,-2.0,5.0,2,0,0,157,231,67.96536796536796,10.0,,0,1.0,100.5,78.5,22.0,1.0,100.5,78.5,22.0,1.0,100.5,78.5,22.0,2.0,5.0,2,0,8,201,157,128.02547770700636,1.0,,0,-1.0,-9.0,0.0
19830409_WesternBulldogs,1983,3,1983-04-09,Western Oval,Western Bulldogs,Melbourne Demons,111,79,20485.0,32,H,1.0,0.5,87.0,94.0,-7.0,0.5,87.0,94.0,-7.0,0.5,87.0,94.0,-7.0,1.0,7.0,2,1,4,174,188,92.55319148936171,8.0,,0,0.5,122.0,117.5,4.5,0.5,122.0,117.5,4.5,0.5,122.0,117.5,4.5,1.0,7.0,2,0,4,244,235,103.82978723404256,6.0,,0,0.0,-2.0,0.0
19830409_CarltonBlues,1983,3,1983-04-09,Waverley Park,Carlton Blues,Collingwood Magpies,97,87,69596.0,10,H,1.0,0.5,109.0,87.5,21.5,0.5,109.0,87.5,21.5,0.5,109.0,87.5,21.5,-1.0,7.0,2,0,4,218,175,124.57142857142857,4.0,,0,0.5,115.5,113.0,2.5,0.5,115.5,113.0,2.5,0.5,115.5,113.0,2.5,-1.0,7.0,2,0,4,231,226,102.21238938053098,7.0,,0,0.0,3.0,0.0
19830409_FitzroyLions,1983,3,1983-04-09,Junction Oval,Fitzroy Lions,Essendon Bombers,97,56,21478.0,41,H,1.0,0.5,100.0,87.0,13.0,0.5,100.0,87.0,13.0,0.5,100.0,87.0,13.0,1.0,5.0,2,1,4,200,174,114.94252873563218,5.0,,0,0.5,120.5,90.5,30.0,0.5,120.5,90.5,30.0,0.5,120.5,90.5,30.0,1.0,5.0,2,0,4,241,181,133.14917127071823,3.0,,0,0.0,-2.0,0.0
19830409_GeelongCats,1983,3,1983-04-09,GMHBA Stadium,Geelong Cats,Richmond Tigers,94,46,21269.0,48,H,1.0,1.0,103.5,85.5,18.0,1.0,103.5,85.5,18.0,1.0,103.5,85.5,18.0,2.0,7.0,2,0,8,207,171,121.05263157894737,2.0,,0,0.0,88.0,127.5,-39.5,0.0,88.0,127.5,-39.5,0.0,88.0,127.5,-39.5,-2.0,7.0,2,0,0,176,255,69.01960784313725,9.0,,0,1.0,7.0,0.0
19830410_SydneySwans,1983,3,1983-04-10,Sydney Cricket Ground,Sydney Swans,North Melbourne Kangaroos,45,185,11831.0,-140,A,0.0,0.5,78.0,90.0,-12.0,0.5,78.0,90.0,-12.0,0.5,78.0,90.0,-12.0,-1.0,6.0,2,1,4,156,180,86.66666666666667,1.0,,0,0.5,71.5,87.5,-16.0,0.5,71.5,87.5,-16.0,0.5,71.5,87.5,-16.0,-1.0,6.0,2,0,4,143,175,81.71428571428571,2.0,,0,0.0,1.0,0.0
19830416_MelbourneDemons,1983,4,1983-04-16,Melbourne Cricket Ground,Melbourne Demons,Carlton Blues,90,99,38544.0,-9,A,0.0,0.3333333333333333,107.66666666666667,115.33333333333333,-7.666666666666667,0.3333333333333333,107.66666666666667,115.33333333333333,-7.666666666666667,0.3333333333333333,107.66666666666667,115.33333333333333,-7.666666666666667,-1.0,7.0,3,2,4,323,346,93.35260115606937,9.0,,0,0.6666666666666666,105.0,87.33333333333333,17.666666666666668,0.6666666666666666,105.0,87.33333333333333,17.666666666666668,0.6666666666666666,105.0,87.33333333333333,17.666666666666668,1.0,7.0,3,0,8,315,262,120.22900763358778,5.0,,0,-0.3333333333333333,-4.0,0.0
19830416_HawthornHawks,1983,4,1983-04-16,Princes Park,Hawthorn Hawks,Western Bulldogs,97,118,16504.0,-21,A,0.0,1.0,124.0,66.33333333333333,57.666666666666664,1.0,124.0,66.33333333333333,57.666666666666664,1.0,124.0,66.33333333333333,57.666666666666664,3.0,7.0,3,1,12,372,199,186.93467336683418,1.0,,0,0.6666666666666666,95.0,89.0,6.0,0.6666666666666666,95.0,89.0,6.0,0.6666666666666666,95.0,89.0,6.0,2.0,7.0,3,0,8,285,267,106.74157303370787,6.0,,0,0.33333333333333337,5.0,0.0
19830416_EssendonBombers,1983,4,1983-04-16,Windy Hill,Essendon Bombers,Collingwood Magpies,141,117,28250.0,24,H,1.0,0.3333333333333333,99.0,92.66666666666667,6.333333333333333,0.3333333333333333,99.0,92.66666666666667,6.333333333333333,0.3333333333333333,99.0,92.66666666666667,6.333333333333333,-1.0,7.0,3,1,4,297,278,106.83453237410072,7.0,,0,0.3333333333333333,106.0,107.66666666666667,-1.6666666666666667,0.3333333333333333,106.0,107.66666666666667,-1.6666666666666667,0.3333333333333333,106.0,107.66666666666667,-1.6666666666666667,-2.0,7.0,3,0,4,318,323,98.45201238390094,8.0,,0,0.0,1.0,0.0
19830416_NorthMelbourneKangaroos,1983,4,1983-04-16,Aegis Park,North Melbourne Kangaroos,Richmond Tigers,127,103,14970.0,24,H,1.0,0.6666666666666666,109.33333333333333,73.33333333333333,36.0,0.6666666666666666,109.33333333333333,73.33333333333333,36.0,0.6666666666666666,109.33333333333333,73.33333333333333,36.0,1.0,6.0,3,1,8,328,220,149.0909090909091,3.0,,0,0.0,74.0,116.33333333333333,-42.333333333333336,0.0,74.0,116.33333333333333,-42.333333333333336,0.0,74.0,116.33333333333333,-42.333333333333336,-3.0,7.0,3,0,0,222,349,63.61031518624642,11.0,,0,0.6666666666666666,8.0,-1.0
