player_id,team,opponent,match_date,round,player_disposals_avg_last3,player_goals_avg_last3,player_fantasy_points_avg_last3,player_tackles_avg_last3,player_player_score_avg_last3,player_disposals_avg_last5,player_goals_avg_last5,player_fantasy_points_avg_last5,player_tackles_avg_last5,player_player_score_avg_last5,player_disposals_avg_last10,player_goals_avg_last10,player_fantasy_points_avg_last10,player_tackles_avg_last10,player_player_score_avg_last10,player_games_played_prior,player_career_avg_disposals_prior,is_home
45466,Port Adelaide Power,Adelaide Crows,2000-08-06,22,2.0,0.0,12.333333333333334,1.0,0.0,1.6,0.0,9.8,0.6,0.0,3.5,0.0,14.5,0.6,0.0,44,5.5227272727272725,0
45467,Western Bulldogs,North Melbourne Kangaroos,2007-09-02,22,7.666666666666667,1.6666666666666667,45.66666666666666,2.333333333333333,10.0,7.6,1.0,47.2,2.0,6.0,11.3,0.7,59.4,2.2,4.5,183,14.53551912568306,1
45468,St Kilda Saints,Hawthorn Hawks,2002-06-30,13,5.666666666666667,0.0,27.666666666666668,1.3333333333333333,0.0,7.4,0.0,31.2,1.2,0.0,7.2,0.3,34.1,1.6,2.0,23,8.652173913043478,1
45469,Collingwood Magpies,West Coast Eagles,2011-09-10,QF,26.666666666666668,0.6666666666666666,104.0,3.333333333333333,4.0,27.6,0.4,104.8,3.0,2.4,23.8,0.5,98.3,4.0,3.6,170,13.494117647058824,1
45470,Sydney Swans,North Melbourne Kangaroos,2008-04-27,6,10.666666666666666,2.333333333333333,55.333333333333336,0.3333333333333333,15.0,12.0,1.8,55.4,0.8,11.6,13.4,1.8,63.4,0.9,11.9,125,12.664,0
45471,Greater Western Sydney Giants,North Melbourne Kangaroos,2022-06-12,13,13.333333333333334,0.6666666666666666,48.0,1.6666666666666667,4.666666666666667,13.0,0.8,53.8,2.0,5.2,13.1,0.6,54.4,2.3,3.9,152,14.664473684210526,0
45472,Collingwood Magpies,Adelaide Crows,2025-09-04,QF,17.333333333333332,0.6666666666666666,54.66666666666666,1.0,4.666666666666667,15.6,0.8,55.4,1.6,5.4,15.3,1.0,60.6,2.1,6.8,119,18.41176470588235,0
45473,Carlton Blues,St Kilda Saints,1999-08-21,21,11.666666666666666,0.3333333333333333,47.0,1.0,2.6666666666666665,9.4,0.2,36.0,0.8,1.6,9.0,0.1,31.9,0.6,0.9,80,11.4,1
45474,Geelong Cats,Brisbane Lions,2025-09-27,GF,12.666666666666666,0.3333333333333333,64.0,2.333333333333333,2.0,12.0,0.2,55.2,1.8,1.2,11.3,0.1,47.2,1.0,0.6,84,13.083333333333334,1
45475,Carlton Blues,Essendon Bombers,2025-08-21,24,14.666666666666666,0.3333333333333333,73.66666666666667,2.333333333333333,2.0,14.2,0.2,65.8,1.6,1.2,15.0,0.3,72.4,2.1,2.1,71,12.915492957746478,0
45476,Carlton Blues,Sydney Swans,2006-09-03,22,9.333333333333334,0.6666666666666666,56.0,2.333333333333333,5.0,10.2,1.4,65.6,2.0,9.4,10.2,0.8,57.2,1.3,5.3,36,8.777777777777779,0
45477,St Kilda Saints,Carlton Blues,2001-08-19,20,15.333333333333334,0.0,66.33333333333333,2.0,0.0,15.4,0.0,64.2,1.8,0.0,16.1,0.0,66.0,2.1,0.0,64,15.109375,1
45478,Essendon Bombers,Collingwood Magpies,2000-08-05,22,13.333333333333334,0.0,46.0,2.0,0.3333333333333333,14.2,0.0,47.6,1.8,0.2,14.5,0.0,49.6,2.0,0.2,153,19.65359477124183,0
45479,Hawthorn Hawks,Port Adelaide Power,1999-06-26,13,4.666666666666667,0.0,20.666666666666668,0.3333333333333333,0.3333333333333333,4.5,0.0,17.75,0.25,0.25,4.5,0.0,17.75,0.25,0.25,4,4.5,0
45480,Hawthorn Hawks,Adelaide Crows,2001-08-26,21,14.0,0.0,59.66666666666666,0.6666666666666666,0.0,15.6,0.0,61.2,0.8,0.0,12.1,0.1,47.3,0.6,0.6,95,14.68421052631579,0
45481,Hawthorn Hawks,Brisbane Lions,2009-06-14,12,15.333333333333334,1.0,69.66666666666667,2.6666666666666665,6.0,15.6,0.8,68.0,2.8,5.4,15.5,0.8,66.7,3.0,5.5,158,13.316455696202532,1
45482,North Melbourne Kangaroos,Carlton Blues,2000-05-20,11,8.333333333333334,1.3333333333333333,42.333333333333336,2.0,8.666666666666666,6.8,1.4,35.4,1.4,8.8,7.0,1.3,35.6,1.0,8.4,55,10.236363636363636,0
45483,Brisbane Lions,Adelaide Crows,1999-08-08,19,7.666666666666667,0.0,34.0,1.0,0.0,9.0,0.0,38.0,1.0,0.2,10.2,0.0,41.3,0.6,0.1,52,10.057692307692308,0
45484,Port Adelaide Power,Fremantle Dockers,2000-07-01,17,8.0,0.0,30.33333333333333,1.0,0.3333333333333333,12.0,0.2,48.2,1.2,1.6,16.1,0.2,60.1,1.3,1.7,46,18.217391304347824,0
45485,Collingwood Magpies,West Coast Eagles,2002-07-27,17,8.333333333333334,0.0,29.33333333333333,1.0,0.0,11.8,0.0,46.4,1.8,0.0,10.9,0.0,48.0,2.8,0.3,25,11.88,0
45486,Western Bulldogs,St Kilda Saints,2003-08-24,21,15.666666666666666,0.3333333333333333,62.0,3.0,2.333333333333333,17.8,0.2,65.8,3.0,1.4,16.0,0.1,59.6,2.3,0.7,115,15.756521739130434,0
45487,Hawthorn Hawks,North Melbourne Kangaroos,2007-09-15,SF,8.0,1.6666666666666667,47.0,1.0,10.333333333333334,8.2,2.2,51.2,1.0,13.8,6.9,1.7,40.5,0.8,10.6,202,10.5,0
45488,Fremantle Dockers,Richmond Tigers,2001-06-03,10,10.0,1.3333333333333333,48.333333333333336,1.3333333333333333,8.666666666666666,11.4,1.0,50.8,1.6,6.4,14.5,0.7,57.8,1.7,4.4,41,15.390243902439025,1
45489,West Coast Eagles,Melbourne Demons,2000-08-06,22,9.333333333333334,1.3333333333333333,47.0,0.6666666666666666,8.333333333333334,15.8,1.0,67.4,0.4,6.2,16.1,0.7,66.4,1.0,4.4,53,13.30188679245283,1
45490,Essendon Bombers,Brisbane Lions,1999-06-19,12,10.666666666666666,0.0,31.0,0.3333333333333333,0.3333333333333333,10.2,0.0,31.6,0.4,0.2,11.9,0.0,38.8,0.9,0.1,74,15.81081081081081,0
45491,Western Bulldogs,St Kilda Saints,2001-07-21,16,3.6666666666666665,0.0,17.666666666666668,0.3333333333333333,0.0,4.6,0.0,22.0,0.4,0.0,4.1,0.2,20.4,0.3,1.2,10,4.1,0
